Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
31840	2.0000	1.2369	1.2315
31841	2.0000	1.2369	1.2315
31842	1.0000	0.6184	0.6158
31843	2.0000	1.2369	1.2315
31844	2.0000	1.2369	1.2315
31845	1.0000	0.6184	0.6158
31846	1.0000	0.6184	0.6158
31847	2.0000	1.2369	1.2315
31848	2.0000	1.2369	1.2315
31849	2.0000	1.2369	1.2315
31850	2.0000	1.2369	1.2315
31851	2.0000	1.2369	1.2315
31852	2.0000	1.2369	1.2315
31853	2.0000	1.2369	1.2315
31854	1.0000	0.6184	0.6158
31855	2.0000	1.2369	1.2315
31856	2.0000	1.2369	1.2315
31857	2.0000	1.2369	1.2315
31858	1.0000	0.6184	0.6158
31859	2.0000	1.2369	1.2315
31860	2.0000	1.2369	1.2315
31861	2.0000	1.2369	1.2315
31862	1.0000	0.6184	0.6158
31863	2.0000	1.2369	1.2315
31864	1.0000	0.6184	0.6158
31865	2.0000	1.2369	1.2315
31866	0.0000	0.0000	0.0000
31867	1.0000	0.6184	0.6158
31868	1.0000	0.6184	0.6158
31869	2.0000	1.2369	1.2315
31870	2.0000	1.2369	1.2315
31871	1.0000	0.6184	0.6158
31872	2.0000	1.2369	1.2315
31873	1.0000	0.6184	0.6158
31874	1.0000	0.6184	0.6158
31875	2.0000	1.2369	1.2315
31876	2.0000	1.2369	1.2315
31877	1.0000	0.6184	0.6158
31878	2.0000	1.2369	1.2315
31879	2.0000	1.2369	1.2315
31880	2.0000	1.2369	1.2315
31881	2.0000	1.2369	1.2315
31882	1.0000	0.6184	0.6158
31883	1.0000	0.6184	0.6158
31884	2.0000	1.2369	1.2315
31885	2.0000	1.2369	1.2315
31886	1.0000	0.6184	0.6158
31887	1.0000	0.6184	0.6158
31888	2.0000	1.2369	1.2315
31889	2.0000	1.2369	1.2315
31890	2.0000	1.2369	1.2315
31891	2.0000	1.2369	1.2315
31892	2.0000	1.2369	1.2315
31893	2.0000	1.2369	1.2315
31894	2.0000	1.2369	1.2315
31895	2.0000	1.2369	1.2315
31896	2.0000	1.2369	1.2315
31897	2.0000	1.2369	1.2315
31898	2.0000	1.2369	1.2315
31899	2.0000	1.2369	1.2315
31900	2.0000	1.2369	1.2315
31901	1.0000	0.6184	0.6158
31902	2.0000	1.2369	1.2315
31903	1.0000	0.6184	0.6158
31904	1.0000	0.6184	0.6158
31905	2.0000	1.2369	1.2315
31906	2.0000	1.2369	1.2315
31907	2.0000	1.2369	1.2315
31908	1.0000	0.6184	0.6158
31909	2.0000	1.2369	1.2315
31910	2.0000	1.2369	1.2315
31911	1.0000	0.6184	0.6158
31912	2.0000	1.2369	1.2315
31913	2.0000	1.2369	1.2315
31914	2.0000	1.2369	1.2315
31915	2.0000	1.2369	1.2315
31916	2.0000	1.2369	1.2315
31917	2.0000	1.2369	1.2315
31918	2.0000	1.2369	1.2315
31919	2.0000	1.2369	1.2315
31920	2.0000	1.2369	1.2315
31921	1.0000	0.6184	0.6158
31922	2.0000	1.2369	1.2315
31923	2.0000	1.2369	1.2315
31924	1.0000	0.6184	0.6158
31925	2.0000	1.2369	1.2315
31926	1.0000	0.6184	0.6158
31927	2.0000	1.2369	1.2315
31928	2.0000	1.2369	1.2315
31929	2.0000	1.2369	1.2315
31930	2.0000	1.2369	1.2315
31931	2.0000	1.2369	1.2315
31932	1.0000	0.6184	0.6158
31933	2.0000	1.2369	1.2315
31934	2.0000	1.2369	1.2315
31935	2.0000	1.2369	1.2315
31936	1.0000	0.6184	0.6158
31937	2.0000	1.2369	1.2315
31938	1.0000	0.6184	0.6158
31939	2.0000	1.2369	1.2315
31940	2.0000	1.2369	1.2315
31941	2.0000	1.2369	1.2315
31942	2.0000	1.2369	1.2315
31943	2.0000	1.2369	1.2315
31944	2.0000	1.2369	1.2315
31945	2.0000	1.2369	1.2315
31946	2.0000	1.2369	1.2315
31947	1.0000	0.6184	0.6158
31948	2.0000	1.2369	1.2315
31949	1.0000	0.6184	0.6158
31950	2.0000	1.2369	1.2315
31951	1.0000	0.6184	0.6158
31952	2.0000	1.2369	1.2315
31953	2.0000	1.2369	1.2315
31954	2.0000	1.2369	1.2315
31955	0.0000	0.0000	0.0000
31956	1.0000	0.6184	0.6158
31957	2.0000	1.2369	1.2315
31958	2.0000	1.2369	1.2315
31959	1.0000	0.6184	0.6158
31960	1.0000	0.6184	0.6158
31961	1.0000	0.6184	0.6158
31962	2.0000	1.2369	1.2315
31963	2.0000	1.2369	1.2315
31964	2.0000	1.2369	1.2315
31965	2.0000	1.2369	1.2315
31966	2.0000	1.2369	1.2315
31967	2.0000	1.2369	1.2315
31968	2.0000	1.2369	1.2315
31969	2.0000	1.2369	1.2315
31970	2.0000	1.2369	1.2315
31971	2.0000	1.2369	1.2315
31972	0.0000	0.0000	0.0000
31973	1.0000	0.6184	0.6158
31974	2.0000	1.2369	1.2315
31975	2.0000	1.2369	1.2315
31976	1.0000	0.6184	0.6158
31977	1.0000	0.6184	0.6158
31978	2.0000	1.2369	1.2315
31979	2.0000	1.2369	1.2315
31980	1.0000	0.6184	0.6158
31981	2.0000	1.2369	1.2315
31982	1.0000	0.6184	0.6158
31983	1.0000	0.6184	0.6158
31984	1.0000	0.6184	0.6158
31985	2.0000	1.2369	1.2315
31986	2.0000	1.2369	1.2315
31987	2.0000	1.2369	1.2315
31988	2.0000	1.2369	1.2315
31989	1.0000	0.6184	0.6158
31990	0.0000	0.0000	0.0000
31991	1.0000	0.6184	0.6158
31992	2.0000	1.2369	1.2315
31993	2.0000	1.2369	1.2315
31994	2.0000	1.2369	1.2315
31995	2.0000	1.2369	1.2315
31996	2.0000	1.2369	1.2315
31997	2.0000	1.2369	1.2315
31998	2.0000	1.2369	1.2315
31999	2.0000	1.2369	1.2315
32000	2.0000	1.2369	1.2315
32001	2.0000	1.2369	1.2315
32002	2.0000	1.2369	1.2315
32003	1.0000	0.6184	0.6158
32004	2.0000	1.2369	1.2315
32005	2.0000	1.2369	1.2315
32006	2.0000	1.2369	1.2315
32007	2.0000	1.2369	1.2315
32008	2.0000	1.2369	1.2315
32009	2.0000	1.2369	1.2315
32010	1.0000	0.6184	0.6158
32011	2.0000	1.2369	1.2315
32012	2.0000	1.2369	1.2315
32013	1.0000	0.6184	0.6158
32014	2.0000	1.2369	1.2315
32015	2.0000	1.2369	1.2315
32016	2.0000	1.2369	1.2315
32017	2.0000	1.2369	1.2315
32018	0.0000	0.0000	0.0000
32019	2.0000	1.2369	1.2315
32020	2.0000	1.2369	1.2315
32021	2.0000	1.2369	1.2315
32022	2.0000	1.2369	1.2315
32023	2.0000	1.2369	1.2315
32024	2.0000	1.2369	1.2315
32025	1.0000	0.6184	0.6158
32026	2.0000	1.2369	1.2315
32027	1.0000	0.6184	0.6158
32028	0.0000	0.0000	0.0000
32029	2.0000	1.2369	1.2315
32030	2.0000	1.2369	1.2315
32031	2.0000	1.2369	1.2315
32032	2.0000	1.2369	1.2315
32033	2.0000	1.2369	1.2315
32034	2.0000	1.2369	1.2315
32035	2.0000	1.2369	1.2315
32036	2.0000	1.2369	1.2315
32037	2.0000	1.2369	1.2315
32038	2.0000	1.2369	1.2315
32039	2.0000	1.2369	1.2315
32040	2.0000	1.2369	1.2315
32041	2.0000	1.2369	1.2315
32042	2.0000	1.2369	1.2315
32043	2.0000	1.2369	1.2315
32044	2.0000	1.2369	1.2315
32045	1.0000	0.6184	0.6158
32046	1.0000	0.6184	0.6158
32047	2.0000	1.2369	1.2315
32048	1.0000	0.6184	0.6158
32049	2.0000	1.2369	1.2315
32050	2.0000	1.2369	1.2315
32051	1.0000	0.6184	0.6158
32052	2.0000	1.2369	1.2315
32053	1.0000	0.6184	0.6158
32054	1.0000	0.6184	0.6158
32055	2.0000	1.2369	1.2315
32056	2.0000	1.2369	1.2315
32057	2.0000	1.2369	1.2315
32058	2.0000	1.2369	1.2315
32059	1.0000	0.6184	0.6158
32060	0.0000	0.0000	0.0000
32061	2.0000	1.2369	1.2315
32062	1.0000	0.6184	0.6158
32063	2.0000	1.2369	1.2315
32064	2.0000	1.2369	1.2315
32065	1.0000	0.6184	0.6158
32066	1.0000	0.6184	0.6158
32067	2.0000	1.2369	1.2315
32068	1.0000	0.6184	0.6158
32069	2.0000	1.2369	1.2315
32070	2.0000	1.2369	1.2315
32071	1.0000	0.6184	0.6158
32072	2.0000	1.2369	1.2315
32073	2.0000	1.2369	1.2315
32074	1.0000	0.6184	0.6158
32075	2.0000	1.2369	1.2315
32076	2.0000	1.2369	1.2315
32077	2.0000	1.2369	1.2315
32078	2.0000	1.2369	1.2315
32079	1.0000	0.6184	0.6158
32080	1.0000	0.6184	0.6158
32081	1.0000	0.6184	0.6158
32082	2.0000	1.2369	1.2315
32083	1.0000	0.6184	0.6158
32084	1.0000	0.6184	0.6158
32085	2.0000	1.2369	1.2315
32086	1.0000	0.6184	0.6158
32087	1.0000	0.6184	0.6158
32088	2.0000	1.2369	1.2315
32089	1.0000	0.6184	0.6158
32090	1.0000	0.6184	0.6158
32091	2.0000	1.2369	1.2315
32092	1.0000	0.6184	0.6158
32093	2.0000	1.2369	1.2315
32094	2.0000	1.2369	1.2315
32095	2.0000	1.2369	1.2315
32096	1.0000	0.6184	0.6158
32097	2.0000	1.2369	1.2315
32098	1.0000	0.6184	0.6158
32099	0.0000	0.0000	0.0000
32100	2.0000	1.2369	1.2315
32101	2.0000	1.2369	1.2315
32102	2.0000	1.2369	1.2315
32103	2.0000	1.2369	1.2315
32104	2.0000	1.2369	1.2315
32105	2.0000	1.2369	1.2315
32106	2.0000	1.2369	1.2315
32107	2.0000	1.2369	1.2315
32108	1.0000	0.6184	0.6158
32109	2.0000	1.2369	1.2315
32110	2.0000	1.2369	1.2315
32111	2.0000	1.2369	1.2315
32112	2.0000	1.2369	1.2315
32113	1.0000	0.6184	0.6158
32114	0.0000	0.0000	0.0000
32115	2.0000	1.2369	1.2315
32116	2.0000	1.2369	1.2315
32117	2.0000	1.2369	1.2315
32118	2.0000	1.2369	1.2315
32119	2.0000	1.2369	1.2315
32120	1.0000	0.6184	0.6158
32121	2.0000	1.2369	1.2315
32122	2.0000	1.2369	1.2315
32123	2.0000	1.2369	1.2315
32124	1.0000	0.6184	0.6158
32125	2.0000	1.2369	1.2315
32126	2.0000	1.2369	1.2315
32127	2.0000	1.2369	1.2315
32128	0.0000	0.0000	0.0000
32129	1.0000	0.6184	0.6158
32130	2.0000	1.2369	1.2315
32131	1.0000	0.6184	0.6158
32132	2.0000	1.2369	1.2315
32133	2.0000	1.2369	1.2315
32134	0.0000	0.0000	0.0000
32135	0.0000	0.0000	0.0000
32136	2.0000	1.2369	1.2315
32137	2.0000	1.2369	1.2315
32138	1.0000	0.6184	0.6158
32139	2.0000	1.2369	1.2315
32140	2.0000	1.2369	1.2315
32141	2.0000	1.2369	1.2315
32142	2.0000	1.2369	1.2315
32143	2.0000	1.2369	1.2315
32144	2.0000	1.2369	1.2315
32145	2.0000	1.2369	1.2315
32146	2.0000	1.2369	1.2315
32147	2.0000	1.2369	1.2315
32148	2.0000	1.2369	1.2315
32149	1.0000	0.6184	0.6158
32150	1.0000	0.6184	0.6158
32151	2.0000	1.2369	1.2315
32152	2.0000	1.2369	1.2315
32153	2.0000	1.2369	1.2315
32154	1.0000	0.6184	0.6158
32155	2.0000	1.2369	1.2315
32156	2.0000	1.2369	1.2315
32157	1.0000	0.6184	0.6158
32158	1.0000	0.6184	0.6158
32159	2.0000	1.2369	1.2315
32160	2.0000	1.2369	1.2315
32161	1.0000	0.6184	0.6158
32162	2.0000	1.2369	1.2315
32163	1.0000	0.6184	0.6158
32164	1.0000	0.6184	0.6158
32165	1.0000	0.6184	0.6158
32166	2.0000	1.2369	1.2315
32167	2.0000	1.2369	1.2315
32168	1.0000	0.6184	0.6158
32169	2.0000	1.2369	1.2315
32170	1.0000	0.6184	0.6158
32171	1.0000	0.6184	0.6158
32172	1.0000	0.6184	0.6158
32173	2.0000	1.2369	1.2315
32174	1.0000	0.6184	0.6158
32175	2.0000	1.2369	1.2315
32176	2.0000	1.2369	1.2315
32177	2.0000	1.2369	1.2315
32178	2.0000	1.2369	1.2315
32179	2.0000	1.2369	1.2315
32180	0.0000	0.0000	0.0000
32181	2.0000	1.2369	1.2315
32182	0.0000	0.0000	0.0000
32183	2.0000	1.2369	1.2315
32184	2.0000	1.2369	1.2315
32185	1.0000	0.6184	0.6158
32186	2.0000	1.2369	1.2315
32187	1.0000	0.6184	0.6158
32188	2.0000	1.2369	1.2315
32189	1.0000	0.6184	0.6158
32190	2.0000	1.2369	1.2315
32191	2.0000	1.2369	1.2315
32192	1.0000	0.6184	0.6158
32193	2.0000	1.2369	1.2315
32194	2.0000	1.2369	1.2315
32195	2.0000	1.2369	1.2315
32196	1.0000	0.6184	0.6158
32197	2.0000	1.2369	1.2315
32198	2.0000	1.2369	1.2315
32199	2.0000	1.2369	1.2315
32200	0.0000	0.0000	0.0000
32201	1.0000	0.6184	0.6158
32202	2.0000	1.2369	1.2315
32203	2.0000	1.2369	1.2315
32204	1.0000	0.6184	0.6158
32205	1.0000	0.6184	0.6158
32206	2.0000	1.2369	1.2315
32207	2.0000	1.2369	1.2315
32208	2.0000	1.2369	1.2315
32209	2.0000	1.2369	1.2315
32210	2.0000	1.2369	1.2315
32211	1.0000	0.6184	0.6158
32212	1.0000	0.6184	0.6158
32213	2.0000	1.2369	1.2315
32214	2.0000	1.2369	1.2315
32215	2.0000	1.2369	1.2315
32216	1.0000	0.6184	0.6158
32217	1.0000	0.6184	0.6158
32218	2.0000	1.2369	1.2315
32219	2.0000	1.2369	1.2315
32220	2.0000	1.2369	1.2315
32221	1.0000	0.6184	0.6158
32222	2.0000	1.2369	1.2315
32223	2.0000	1.2369	1.2315
32224	2.0000	1.2369	1.2315
32225	2.0000	1.2369	1.2315
32226	2.0000	1.2369	1.2315
32227	0.0000	0.0000	0.0000
32228	2.0000	1.2369	1.2315
32229	2.0000	1.2369	1.2315
32230	1.0000	0.6184	0.6158
32231	2.0000	1.2369	1.2315
32232	1.0000	0.6184	0.6158
32233	2.0000	1.2369	1.2315
32234	2.0000	1.2369	1.2315
32235	2.0000	1.2369	1.2315
32236	2.0000	1.2369	1.2315
32237	1.0000	0.6184	0.6158
32238	1.0000	0.6184	0.6158
32239	2.0000	1.2369	1.2315
32240	2.0000	1.2369	1.2315
32241	2.0000	1.2369	1.2315
32242	2.0000	1.2369	1.2315
32243	2.0000	1.2369	1.2315
32244	2.0000	1.2369	1.2315
32245	1.0000	0.6184	0.6158
32246	1.0000	0.6184	0.6158
32247	1.0000	0.6184	0.6158
32248	2.0000	1.2369	1.2315
32249	2.0000	1.2369	1.2315
32250	2.0000	1.2369	1.2315
32251	1.0000	0.6184	0.6158
32252	2.0000	1.2369	1.2315
32253	2.0000	1.2369	1.2315
32254	2.0000	1.2369	1.2315
32255	2.0000	1.2369	1.2315
32256	2.0000	1.2369	1.2315
32257	1.0000	0.6184	0.6158
32258	1.0000	0.6184	0.6158
32259	2.0000	1.2369	1.2315
32260	2.0000	1.2369	1.2315
32261	2.0000	1.2369	1.2315
32262	2.0000	1.2369	1.2315
32263	2.0000	1.2369	1.2315
32264	2.0000	1.2369	1.2315
32265	2.0000	1.2369	1.2315
32266	2.0000	1.2369	1.2315
32267	1.0000	0.6184	0.6158
32268	2.0000	1.2369	1.2315
32269	2.0000	1.2369	1.2315
32270	2.0000	1.2369	1.2315
32271	2.0000	1.2369	1.2315
32272	0.0000	0.0000	0.0000
32273	2.0000	1.2369	1.2315
32274	2.0000	1.2369	1.2315
32275	2.0000	1.2369	1.2315
32276	2.0000	1.2369	1.2315
32277	2.0000	1.2369	1.2315
32278	1.0000	0.6184	0.6158
32279	2.0000	1.2369	1.2315
32280	1.0000	0.6184	0.6158
32281	2.0000	1.2369	1.2315
32282	2.0000	1.2369	1.2315
32283	2.0000	1.2369	1.2315
32284	2.0000	1.2369	1.2315
32285	0.0000	0.0000	0.0000
32286	1.0000	0.6184	0.6158
32287	1.0000	0.6184	0.6158
32288	2.0000	1.2369	1.2315
32289	2.0000	1.2369	1.2315
32290	2.0000	1.2369	1.2315
32291	2.0000	1.2369	1.2315
32292	1.0000	0.6184	0.6158
32293	2.0000	1.2369	1.2315
32294	2.0000	1.2369	1.2315
32295	1.0000	0.6184	0.6158
32296	1.0000	0.6184	0.6158
32297	2.0000	1.2369	1.2315
32298	2.0000	1.2369	1.2315
32299	2.0000	1.2369	1.2315
32300	2.0000	1.2369	1.2315
32301	0.0000	0.0000	0.0000
32302	2.0000	1.2369	1.2315
32303	1.0000	0.6184	0.6158
32304	1.0000	0.6184	0.6158
32305	1.0000	0.6184	0.6158
32306	2.0000	1.2369	1.2315
32307	2.0000	1.2369	1.2315
32308	1.0000	0.6184	0.6158
32309	2.0000	1.2369	1.2315
32310	1.0000	0.6184	0.6158
32311	2.0000	1.2369	1.2315
32312	1.0000	0.6184	0.6158
32313	2.0000	1.2369	1.2315
32314	2.0000	1.2369	1.2315
32315	1.0000	0.6184	0.6158
32316	2.0000	1.2369	1.2315
32317	2.0000	1.2369	1.2315
32318	1.0000	0.6184	0.6158
32319	2.0000	1.2369	1.2315
32320	2.0000	1.2369	1.2315
32321	2.0000	1.2369	1.2315
32322	2.0000	1.2369	1.2315
32323	2.0000	1.2369	1.2315
32324	2.0000	1.2369	1.2315
32325	1.0000	0.6184	0.6158
32326	0.0000	0.0000	0.0000
32327	2.0000	1.2369	1.2315
32328	1.0000	0.6184	0.6158
32329	2.0000	1.2369	1.2315
32330	2.0000	1.2369	1.2315
32331	2.0000	1.2369	1.2315
32332	2.0000	1.2369	1.2315
32333	1.0000	0.6184	0.6158
32334	2.0000	1.2369	1.2315
32335	2.0000	1.2369	1.2315
32336	2.0000	1.2369	1.2315
32337	2.0000	1.2369	1.2315
32338	1.0000	0.6184	0.6158
32339	2.0000	1.2369	1.2315
32340	2.0000	1.2369	1.2315
32341	2.0000	1.2369	1.2315
32342	1.0000	0.6184	0.6158
32343	1.0000	0.6184	0.6158
32344	1.0000	0.6184	0.6158
32345	2.0000	1.2369	1.2315
32346	0.0000	0.0000	0.0000
32347	1.0000	0.6184	0.6158
32348	2.0000	1.2369	1.2315
32349	0.0000	0.0000	0.0000
32350	2.0000	1.2369	1.2315
32351	2.0000	1.2369	1.2315
32352	2.0000	1.2369	1.2315
32353	1.0000	0.6184	0.6158
32354	2.0000	1.2369	1.2315
32355	2.0000	1.2369	1.2315
32356	1.0000	0.6184	0.6158
32357	2.0000	1.2369	1.2315
32358	1.0000	0.6184	0.6158
32359	2.0000	1.2369	1.2315
32360	2.0000	1.2369	1.2315
32361	1.0000	0.6184	0.6158
32362	2.0000	1.2369	1.2315
32363	1.0000	0.6184	0.6158
32364	1.0000	0.6184	0.6158
32365	2.0000	1.2369	1.2315
32366	2.0000	1.2369	1.2315
32367	1.0000	0.6184	0.6158
32368	2.0000	1.2369	1.2315
32369	2.0000	1.2369	1.2315
32370	2.0000	1.2369	1.2315
32371	1.0000	0.6184	0.6158
32372	2.0000	1.2369	1.2315
32373	1.0000	0.6184	0.6158
32374	1.0000	0.6184	0.6158
32375	2.0000	1.2369	1.2315
32376	2.0000	1.2369	1.2315
32377	2.0000	1.2369	1.2315
32378	2.0000	1.2369	1.2315
32379	1.0000	0.6184	0.6158
32380	2.0000	1.2369	1.2315
32381	2.0000	1.2369	1.2315
32382	2.0000	1.2369	1.2315
32383	2.0000	1.2369	1.2315
32384	2.0000	1.2369	1.2315
32385	2.0000	1.2369	1.2315
32386	2.0000	1.2369	1.2315
32387	2.0000	1.2369	1.2315
32388	2.0000	1.2369	1.2315
32389	2.0000	1.2369	1.2315
32390	2.0000	1.2369	1.2315
32391	1.0000	0.6184	0.6158
32392	2.0000	1.2369	1.2315
32393	1.0000	0.6184	0.6158
32394	2.0000	1.2369	1.2315
32395	1.0000	0.6184	0.6158
32396	2.0000	1.2369	1.2315
32397	0.0000	0.0000	0.0000
32398	2.0000	1.2369	1.2315
32399	2.0000	1.2369	1.2315
32400	2.0000	1.2369	1.2315
32401	1.0000	0.6184	0.6158
32402	2.0000	1.2369	1.2315
32403	2.0000	1.2369	1.2315
32404	2.0000	1.2369	1.2315
32405	2.0000	1.2369	1.2315
32406	2.0000	1.2369	1.2315
32407	1.0000	0.6184	0.6158
32408	2.0000	1.2369	1.2315
32409	2.0000	1.2369	1.2315
32410	2.0000	1.2369	1.2315
32411	1.0000	0.6184	0.6158
32412	2.0000	1.2369	1.2315
32413	1.0000	0.6184	0.6158
32414	1.0000	0.6184	0.6158
32415	0.0000	0.0000	0.0000
32416	1.0000	0.6184	0.6158
32417	1.0000	0.6184	0.6158
32418	1.0000	0.6184	0.6158
32419	2.0000	1.2369	1.2315
32420	1.0000	0.6184	0.6158
32421	1.0000	0.6184	0.6158
32422	2.0000	1.2369	1.2315
32423	1.0000	0.6184	0.6158
32424	1.0000	0.6184	0.6158
32425	2.0000	1.2369	1.2315
32426	2.0000	1.2369	1.2315
32427	2.0000	1.2369	1.2315
32428	2.0000	1.2369	1.2315
32429	0.0000	0.0000	0.0000
32430	2.0000	1.2369	1.2315
32431	0.0000	0.0000	0.0000
32432	2.0000	1.2369	1.2315
32433	2.0000	1.2369	1.2315
32434	2.0000	1.2369	1.2315
32435	1.0000	0.6184	0.6158
32436	2.0000	1.2369	1.2315
32437	2.0000	1.2369	1.2315
32438	2.0000	1.2369	1.2315
32439	1.0000	0.6184	0.6158
32440	2.0000	1.2369	1.2315
32441	2.0000	1.2369	1.2315
32442	2.0000	1.2369	1.2315
32443	1.0000	0.6184	0.6158
32444	1.0000	0.6184	0.6158
32445	2.0000	1.2369	1.2315
32446	2.0000	1.2369	1.2315
32447	2.0000	1.2369	1.2315
32448	2.0000	1.2369	1.2315
32449	1.0000	0.6184	0.6158
32450	2.0000	1.2369	1.2315
32451	2.0000	1.2369	1.2315
32452	2.0000	1.2369	1.2315
32453	0.0000	0.0000	0.0000
32454	2.0000	1.2369	1.2315
32455	2.0000	1.2369	1.2315
32456	1.0000	0.6184	0.6158
32457	2.0000	1.2369	1.2315
32458	2.0000	1.2369	1.2315
32459	1.0000	0.6184	0.6158
32460	2.0000	1.2369	1.2315
32461	2.0000	1.2369	1.2315
32462	1.0000	0.6184	0.6158
32463	2.0000	1.2369	1.2315
32464	2.0000	1.2369	1.2315
32465	2.0000	1.2369	1.2315
32466	1.0000	0.6184	0.6158
32467	2.0000	1.2369	1.2315
32468	2.0000	1.2369	1.2315
32469	2.0000	1.2369	1.2315
32470	1.0000	0.6184	0.6158
32471	1.0000	0.6184	0.6158
32472	1.0000	0.6184	0.6158
32473	2.0000	1.2369	1.2315
32474	2.0000	1.2369	1.2315
32475	0.0000	0.0000	0.0000
32476	2.0000	1.2369	1.2315
32477	2.0000	1.2369	1.2315
32478	1.0000	0.6184	0.6158
32479	2.0000	1.2369	1.2315
32480	2.0000	1.2369	1.2315
32481	1.0000	0.6184	0.6158
32482	2.0000	1.2369	1.2315
32483	2.0000	1.2369	1.2315
32484	2.0000	1.2369	1.2315
32485	2.0000	1.2369	1.2315
32486	1.0000	0.6184	0.6158
32487	2.0000	1.2369	1.2315
32488	2.0000	1.2369	1.2315
32489	2.0000	1.2369	1.2315
32490	2.0000	1.2369	1.2315
32491	2.0000	1.2369	1.2315
32492	2.0000	1.2369	1.2315
32493	0.0000	0.0000	0.0000
32494	2.0000	1.2369	1.2315
32495	2.0000	1.2369	1.2315
32496	1.0000	0.6184	0.6158
32497	2.0000	1.2369	1.2315
32498	2.0000	1.2369	1.2315
32499	1.0000	0.6184	0.6158
32500	2.0000	1.2369	1.2315
32501	2.0000	1.2369	1.2315
32502	1.0000	0.6184	0.6158
32503	2.0000	1.2369	1.2315
32504	1.0000	0.6184	0.6158
32505	1.0000	0.6184	0.6158
32506	2.0000	1.2369	1.2315
32507	0.0000	0.0000	0.0000
32508	2.0000	1.2369	1.2315
32509	2.0000	1.2369	1.2315
32510	2.0000	1.2369	1.2315
32511	2.0000	1.2369	1.2315
32512	2.0000	1.2369	1.2315
32513	1.0000	0.6184	0.6158
32514	1.0000	0.6184	0.6158
32515	2.0000	1.2369	1.2315
32516	0.0000	0.0000	0.0000
32517	2.0000	1.2369	1.2315
32518	2.0000	1.2369	1.2315
32519	2.0000	1.2369	1.2315
32520	0.0000	0.0000	0.0000
32521	1.0000	0.6184	0.6158
32522	0.0000	0.0000	0.0000
32523	2.0000	1.2369	1.2315
32524	2.0000	1.2369	1.2315
32525	2.0000	1.2369	1.2315
32526	2.0000	1.2369	1.2315
32527	2.0000	1.2369	1.2315
32528	1.0000	0.6184	0.6158
32529	2.0000	1.2369	1.2315
32530	2.0000	1.2369	1.2315
32531	2.0000	1.2369	1.2315
32532	2.0000	1.2369	1.2315
32533	1.0000	0.6184	0.6158
32534	2.0000	1.2369	1.2315
32535	2.0000	1.2369	1.2315
32536	2.0000	1.2369	1.2315
32537	1.0000	0.6184	0.6158
32538	2.0000	1.2369	1.2315
32539	2.0000	1.2369	1.2315
32540	2.0000	1.2369	1.2315
32541	2.0000	1.2369	1.2315
32542	1.0000	0.6184	0.6158
32543	0.0000	0.0000	0.0000
32544	2.0000	1.2369	1.2315
32545	2.0000	1.2369	1.2315
32546	2.0000	1.2369	1.2315
32547	1.0000	0.6184	0.6158
32548	2.0000	1.2369	1.2315
32549	2.0000	1.2369	1.2315
32550	1.0000	0.6184	0.6158
32551	1.0000	0.6184	0.6158
32552	2.0000	1.2369	1.2315
32553	2.0000	1.2369	1.2315
32554	2.0000	1.2369	1.2315
32555	1.0000	0.6184	0.6158
32556	2.0000	1.2369	1.2315
32557	2.0000	1.2369	1.2315
32558	1.0000	0.6184	0.6158
32559	1.0000	0.6184	0.6158
32560	1.0000	0.6184	0.6158
32561	2.0000	1.2369	1.2315
32562	1.0000	0.6184	0.6158
32563	1.0000	0.6184	0.6158
32564	1.0000	0.6184	0.6158
32565	2.0000	1.2369	1.2315
32566	1.0000	0.6184	0.6158
32567	2.0000	1.2369	1.2315
32568	2.0000	1.2369	1.2315
32569	1.0000	0.6184	0.6158
32570	2.0000	1.2369	1.2315
32571	2.0000	1.2369	1.2315
32572	2.0000	1.2369	1.2315
32573	2.0000	1.2369	1.2315
32574	1.0000	0.6184	0.6158
32575	1.0000	0.6184	0.6158
32576	2.0000	1.2369	1.2315
32577	2.0000	1.2369	1.2315
32578	2.0000	1.2369	1.2315
32579	1.0000	0.6184	0.6158
32580	1.0000	0.6184	0.6158
32581	2.0000	1.2369	1.2315
32582	2.0000	1.2369	1.2315
32583	0.0000	0.0000	0.0000
32584	1.0000	0.6184	0.6158
32585	1.0000	0.6184	0.6158
32586	2.0000	1.2369	1.2315
32587	2.0000	1.2369	1.2315
32588	2.0000	1.2369	1.2315
32589	2.0000	1.2369	1.2315
32590	1.0000	0.6184	0.6158
32591	1.0000	0.6184	0.6158
32592	2.0000	1.2369	1.2315
32593	2.0000	1.2369	1.2315
32594	2.0000	1.2369	1.2315
32595	2.0000	1.2369	1.2315
32596	1.0000	0.6184	0.6158
32597	2.0000	1.2369	1.2315
32598	2.0000	1.2369	1.2315
32599	2.0000	1.2369	1.2315
32600	1.0000	0.6184	0.6158
32601	2.0000	1.2369	1.2315
32602	1.0000	0.6184	0.6158
32603	2.0000	1.2369	1.2315
32604	2.0000	1.2369	1.2315
32605	2.0000	1.2369	1.2315
32606	1.0000	0.6184	0.6158
32607	1.0000	0.6184	0.6158
32608	1.0000	0.6184	0.6158
32609	1.0000	0.6184	0.6158
32610	2.0000	1.2369	1.2315
32611	2.0000	1.2369	1.2315
32612	2.0000	1.2369	1.2315
32613	2.0000	1.2369	1.2315
32614	2.0000	1.2369	1.2315
